,dan,erhuang,manban,s1,春娥女好一此失群孤雁，,164,204,春娥女,好一此,失群孤雁，
,dan,erhuang,manban,x,老薛保好一似浪里舟船。,204,221.5,老薛保,好一似,浪里舟船。
,dan,erhuang,manban,s2,薛倚儿他好比无弓之箭，,224,244,薛倚儿,他好比,无弓之箭，
,dan,erhuang,manban,x,每日里在书房苦读圣贤。,244,261.5,每日里,在书房,苦读圣贤。
,dan,erhuang,manban,s2,将身儿来至在机房织绢，,264,296,将身儿,来至在,机房织绢，
,dan,erhuang,manban,x,等候了薛倚儿转回家园。,332,355,等候了,薛倚儿,转回家园。
daeh-WuDuanQiao-BiYuZan.xml,dan,erhuang,manban,s1,无端巧计将人陷，,36,93,无端,巧计,将人陷，
,dan,erhuang,manban,x,薄命自伤怨红颜。,112,149,薄命,自伤,怨红颜。
,dan,erhuang,manban,s1,独处闺房愁无限，,164,204.5,独处,闺房,愁无限，
,dan,erhuang,manban,x,落得孤身病恹恹。,208,224.5,落得,孤身,病恹恹。
,dan,erhuang,manban,s2,今生若被郎轻贱，,228,244.5,今生,若被,郎轻贱，
,dan,erhuang,manban,x,满腹冤屈向谁言。,248,263.5,满腹,冤屈,向谁言。
,dan,erhuang,manban,s2,一心早想寻短见，,264,297,一心,早想,寻短见，
,dan,erhuang,manban,x,又怕丑名误流传。,332,356,又怕,丑名,误流传。
daeh-XiaoNuCai-SanNiangJiaoZi.xml,dan,erhuang,yuanban,s1,小奴才他一言问住我，,0,13,小奴才,他一言,问住我，
,dan,erhuang,yuanban,x,闭口无言王春娥。,15,21,闭口,无言,王春娥。
,dan,erhuang,yuanban,s2,哭一声亡故夫在阴曹等我，,23,31,哭一声,亡故夫在,阴曹等我，
,dan,erhuang,yuanban,x,等候了你妻子同见阎罗。,33,41,等候了,你妻子,同见阎罗。
,dan,erhuang,yuanban,s2,怒气不息在机房闷坐，,43,55,怒气,不息在,机房闷坐，
,dan,erhuang,yuanban,x,叹一声不由人珠泪如梭。,56,74,叹一声,不由人,珠泪如梭。
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s1,遭不幸老王爷晏了御驾，,10,51,遭不幸,老王爷,晏了御驾，
,dan,erhuang,kuaisanyan,x,贼昏王篡了位谋乱邦家。,54,71,贼昏王,篡了位,谋乱邦家。
,dan,erhuang,kuaisanyan,s2,把一个皇太子逼死殿下，,74,91,把一个,皇太子,逼死殿下，
,dan,erhuang,kuaisanyan,x,反倒说为嫂我拦阻有差，,94,111,反倒说,为嫂我,拦阻有差，
,dan,erhuang,kuaisanyan,s2,贼好比王莽贼称孤道寡，,114,131,贼好比,王莽贼,称孤道寡，
,dan,erhuang,kuaisanyan,x,贼好比曹阿瞒半点不差，,134,151,贼好比,曹阿瞒,半点不差，
,dan,erhuang,kuaisanyan,s2,贼好比秦赵高指鹿为马，,154,173.5,贼好比,秦赵高,指鹿为马，
,dan,erhuang,kuaisanyan,x,贼好比那司马师搅乱中华。,174,191,贼好比,那司马师,搅乱中华。
,dan,erhuang,kuaisanyan,s2,只骂得贼昏王装聋作哑，,194,211,只骂得,贼昏王,装聋作哑，
,dan,erhuang,kuaisanyan,x,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,214,256,只骂得,贼昏王扭转身驱、闭目合晴、羞羞惭惭,一语不发，
,dan,erhuang,kuaisanyan,s2,只骂得贼昏王无言对答。,258,275,只骂得,贼昏王,无言对答。
,dan,erhuang,kuaisanyan,x,两旁的文武臣珠泪如麻，,278,295,两旁的,文武臣,珠泪如麻，
,dan,erhuang,kuaisanyan,s2,搬一把金交椅娘且坐下，,298,315,搬一把,金交椅,娘且坐下，
,dan,erhuang,kuaisanyan,x,你叔王不让位再去骂他。,318,360,你叔王,不让位,再去骂他。
