,dan,erhuang,manban,x,又谁知弄假成真反配凤鸾。,169,186.5,42143213442,又谁知,169,172,弄假成真,173,176.75,反配凤鸾。,177,186.5
,dan,erhuang,manban,s2,回荆州未三载诓我回转，,189,205,2114131323,回荆州,189,192,未三载,194,196,诓我回转，,197,205
,dan,erhuang,manban,x,阿斗儿行中途被子龙追还。,209,226.5,14521243212,阿斗儿,209,212,行中途被,214,216.5,子龙追还。,217,226.5
,dan,erhuang,manban,s2,恨只恨我兄长把事错办，,229,245,4343133444,恨只恨,229,232,我兄长,234,236,把事错办，,237,245
,dan,erhuang,manban,x,叹一声不由人珠泪涟涟。,249,273,4414221422,叹一声,249,252,不由人,254,256,珠泪涟涟。,257,273
daeh-TanHongYan-HuoXiaoYu.xml,dan,erhuang,manban,s1,叹红颜薄命前生就，,32,75.75,42224214,叹红颜,32,37,薄命,40,49,前生就，,64,75.75
,dan,erhuang,manban,x,美满姻缘付东流。,76,105,3312412,美满,76,79.5,姻缘,81,83.75,付东流。,84,105
,dan,erhuang,manban,s1,薄幸冤家音信无有，,124,164,24111423,薄幸,124,129,冤家,132,141,音信无有，,156,164
,dan,erhuang,manban,x,啼花泣月在暗里（呀）添愁。,168,182.5,214444312,啼花,168,169.75,泣月在,170,171.5,暗里（呀）添愁。,172,182.5
,dan,erhuang,manban,s2,枕边泪（呀）共（那）阶前雨，,184,221,3144123,枕边泪（呀）,184,186.25,共（那）,189,191.75,阶前雨，,192,221
,dan,erhuang,manban,x,隔着窗儿点滴不休。,236,260,25153141,隔着,236,243.5,窗儿,245,247.75,点滴不休。,248,260
daeh-WangChunE-SanNiangJiaoZi.xml,dan,erhuang,manban,s1,王春娥坐草堂自思自叹，,36,92,2124324144,王春娥,36,40,坐草堂,44,53,自思自叹，,68,92
,dan,erhuang,manban,x,想起了我老爷好不惨然。,112,149,3333323432,想起了,112,119,我老爷,121,123.5,好不惨然。,124,149
,dan,erhuang,manban,s1,春娥女好一此失群孤雁，,164,201,1233231214,春娥女,164,168,好一此,172,181,失群孤雁，,192,201
