daeh-CanQiQi-WuLongZuo.xml,dan,erhuang,manban,s1,惨凄凄唤苍天天不应响，,12,65,3114111243,惨凄凄,唤苍天,天不应响，
,dan,erhuang,manban,x,叹红颜多薄命父母双亡。,84,121,4221244312,叹红颜,多薄命,父母双亡。
,dan,erhuang,manban,s1,千金休哪曾受磨房景况，,136,201,1113244234,千金休,哪曾受,磨房景况，
,dan,erhuang,manban,x,担几肩头晕转体若筛糠。,236,261,1312133411,担几肩,头晕转,体若筛糠。
daeh-LiYanFei-DaBaoGuo.xml,dan,erhuang,manban,s1,李艳妃设早朝龙书案下，,0,41,3414322144,李艳妃,设早朝,龙书案下，
,dan,erhuang,manban,x,文站东武列西朝贺哀家。,42,74,2413412411,文站东,武列西,朝贺哀家。
,dan,erhuang,manban,s1,太师爷奏一本进贡年下，,75,100,4124434424,太师爷,奏一本,进贡年下，
,dan,erhuang,manban,x,各国的众王侯朝贺中华。,104,122,4254222412,各国的,众王侯,朝贺中华。
,dan,erhuang,manban,s2,将江山让太师权且代贺，,124,140,1114412344,将江山,让太师,权且代贺，
,dan,erhuang,manban,x,候幼主成了龙原业归家。,144,161.75,4432322411,候幼主,成了龙,原业归家。
,dan,erhuang,manban,s2,写文约我且把玉玺打下，,164,196,3213334334,写文约,我且把,玉玺打下，
,dan,erhuang,manban,x,宣太师上金殿披红插花。,197,237,1414141211,宣太师,上金殿,披红插花。
,dan,erhuang,manban,s1,赐你的上方剑朝房问话，,238,263,4354142244,赐你的,上方剑,朝房问话，
,dan,erhuang,manban,x,压定了文武臣均要画押。,267,292.5,1432321441,压定了,文武臣,均要画押。
daeh-LiYanFei-ErJinGong.xml,dan,erhuang,zhongsanyan,s1,李艳妃坐昭阳自思自想，,15,52,3414124143,李艳妃,坐昭阳,自思自想，
,dan,erhuang,zhongsanyan,x,想起了朝中事好不惨伤！,55,87.5,3332143431,想起了,朝中事,好不惨伤！
,dan,erhuang,zhongsanyan,s1,耳边厢又听得朝靴响亮，,103,140,3114122134,耳边厢,又听得,朝靴响亮，
,dan,erhuang,zhongsanyan,x,想必是徐杨将进了昭阳。,143,160,3442244312,想必是,徐杨将,进了昭阳。
,dan,erhuang,zhongsanyan,s2,有几句话儿我不好言讲，,163,180,3344534323,有几句,话儿我,不好言讲，
,dan,erhuang,zhongsanyan,x,我只得怀抱太子两泪汪汪口口声声哭的是先王。,183,227.5,33224453411331115412,我只得,怀抱太子两泪汪汪口口声声,哭的是先王。
daeh-NaRiFeng-YuanXiaoMi.xml,dan,erhuang,yuanban,s1,那日风波平地起，,17,41.5,4411243,那日,风波,平地起，
,dan,erhuang,yuanban,x,死里逃生甚惨凄。,43,51.5,3321431,死里,逃生,甚惨凄。
