,dan,erhuang,yuanban,x,叹一声不由人珠泪如梭。,56.00,74.00
daeh-ZaoBuXing-HeHouMaDian.xml,dan,erhuang,kuaisanyan,s,遭不幸老王爷晏了御驾.,10.00,51.00
,dan,erhuang,kuaisanyan,x,贼昏王篡了位谋乱邦家。,54.00,71.00
,dan,erhuang,kuaisanyan,s,把一个皇太子逼死殿下.,74.00,91.00
,dan,erhuang,kuaisanyan,x,反倒说为嫂我拦阻有差.,94.00,111.00
,dan,erhuang,kuaisanyan,s,贼好比王莽贼称孤道寡.,114.00,131.00
,dan,erhuang,kuaisanyan,x,贼好比曹阿瞒半点不差.,134.00,151.00
,dan,erhuang,kuaisanyan,s,贼好比秦赵高指鹿为马.,154.00,173.50
,dan,erhuang,kuaisanyan,x,贼好比那司马师搅乱中华。,174.00,191.00
,dan,erhuang,kuaisanyan,s,只骂得贼昏王装聋作哑.,194.00,211.00
,dan,erhuang,kuaisanyan,x,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发.,214.00,256.00
,dan,erhuang,kuaisanyan,s,只骂得贼昏王无言对答。,258.00,275.00
,dan,erhuang,kuaisanyan,x,两旁的文武臣珠泪如麻.,278.00,295.00
,dan,erhuang,kuaisanyan,s,搬一把金交椅娘且坐下.,298.00,315.00
,dan,erhuang,kuaisanyan,x,你叔王不让位再去骂他。,318.00,360.00
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s,自那日与徐杨决裂以后.,40.00,96.00
,dan,erhuang,manban,x,独坐在寒宫院闷闷悠悠。,116.00,152.00
,dan,erhuang,manban,s,先王爷晏驾后太子年幼.,168.00,208.50
,dan,erhuang,manban,x,太师爷一心心想篡龙楼。,212.00,228.25
,dan,erhuang,manban,s,他那里父女情全然无有.,232.00,248.50
,dan,erhuang,manban,x,竟把我孤儿寡母当做了马牛。,252.00,271.50
,dan,erhuang,manban,s,徐小姐把守在宫门口.,272.00,316.00
,dan,erhuang,manban,x,看一看不觉到八月中秋。,352.00,384.00
,dan,erhuang,manban,s,李艳妃坐昭阳自思自想.,402.00,438.00
,dan,erhuang,manban,x,想起了老王爷好不惨伤。,442.00,470.00
,dan,erhuang,manban,s,耳边厢又听得朝靴响亮.,486.00,522.50
,dan,erhuang,manban,x,想必是徐杨进了昭阳。,526.00,544.00
,dan,erhuang,manban,s,有一句话儿不好言讲.,546.00,562.50
,dan,erhuang,manban,x,我只得怀抱太子两泪汪汪口口声声哭的是先王！,566.00,610.00
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s,自那日与六郎姻缘相见.,17.00,35.25
,dan,erhuang,yuanban,x,行不安坐不宁情态缠绵。,37.00,45.25
,dan,erhuang,yuanban,s,在潼台被贼擒在命好险.,47.00,55.25
,dan,erhuang,yuanban,x,乱军中多亏他救我回还。,57.00,79.00
,dan,erhuang,yuanban,s,这桩事闷得我柔肠百转.,87.00,119.50
,dan,erhuang,yuanban,x,不知道他与我是否一般。,121.00,129.25
,dan,erhuang,yuanban,s,百姓们闺房乐如花美眷.,131.00,139.25
,dan,erhuang,yuanban,x,帝王家深宫院似水流年。,141.00,151.25
,dan,erhuang,yuanban,s,幸喜得珍珠衫称心如愿.,153.00,161.25
