昨日宫中何等宠幸，,24112334
有谁知一时错被逐宫廷。,3211244212
思想起从前事心中悔恨，,1332241134
但不知何日里再沐圣明。,4412434442
陈三两在大堂把话云，,213442342
公正的老爷细听分明。,145324112
我本是被骗进的富春院，,3344445414
发奋自强日夜读诗文。,144244212
诗书易礼都学会，,1143124
最可恨鸨儿叫我接客人。,4343243142
春秋亭外风雨暴，,1124134
何处悲声破寂寥。,2311442
在隔帘只见这一花轿，,422344114
想必是新婚渡鹊桥，,34411442
吉日良辰当欢笑，,2422114
为何鲛珠化泪抛？,2211441
此时却又明白了，,3244225
世上何尝尽富豪，,4422342
亦有饥寒悲怀抱，,4312124
也有失意痛哭嚎啕，,33144122
轿内的人儿弹别调，,44522424
必有隐情在心潮。,4332412
耳听得悲声惨心中如捣，,3121131123
同遇人为什么这样嚎啕？,2422254422
莫不是夫郎丑难谐女貌？,4441232234
莫不是强婚配鸦占鸾巢？,4442141422
叫梅香你把那好言相告，,4213343214
问那厢因何故痛哭无聊。,4411244122
听薛良一语来相告，,11213214
满腹骄矜顿雪潇，,3411431
人情冷暖凭天造，,2233214
谁能移动他半分毫。,22241412
我在不足他正少，,3442143
他为饥寒我为娇。,1212321
分我一枝珊瑚宝，,1311123
安他半世凤凰巢。,1144422
忙把梅香低声儿叫，,23211124
莫把姓名你信口晓，,43423433
这都是神话凭空造，,41424214
自把珠玉夸富豪，,4314142
麟儿那有神送到，,2243244
积德才生玉树苗，,1221442
小小囊儿何足道，,3322224
救她饥渴胜琼瑶。,4113422
当日里好风光忽觉转变，,1433111234
霎时间日色淡似坠西山。,4214444411
在轿中只觉得天昏地暗。,4413221144
耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,3121143112144121214314144311
那花轿必定是因陋就简，,4144441443
隔帘儿我也曾侧目偷观。,2223324411
虽然是古青庐以朴为俭，,1243123423
哪有这短花帘，旧花幔，参差流苏，残破不全。,33431241411212442
轿中人必定有一腔幽怨，,4124431114
她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,1444144441224121242123432
于归日理应当喜形于面，,2143113224
为什么悲切切哭得可怜。,2251441232
那时节奴妆奁不下百万，,4222124434
怎奈我在轿中赤手空拳。,3434414312
急切里想起了锁麟囊一（呀）件，,243335322114
囊虽小却能做续命泉源。,2134244422
有金珠和珍宝光华灿烂，,3112131244
红珊瑚碧翡翠样样倶全。,2124344442
还有那夜明珠粒粒成串，,2344214424
还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,23441431124214413141443412
这囊儿虽非是千古罕见，,4221141334
换衣食也够她生活几年。,4123411232
低头离了洪洞县，,1225244
将身来在大街前。,1124412
未曾开言我心好惨，,42123133
过往的君子听我言。,43515132
哪一位去往南京转，,31443213
与我那三郎把信传。,33412342
就说苏三把命断，,4111344
来生变犬马我当报还。,214333142
对菱花暗地里芳心自转，,4214431143
听她言不由人喜上眉尖。,1124223421
果然是成佳偶两心欢恋，,3242133114
也算得人世间美满姻缘。,3422413312
儿的父为国家阵前命丧，,2542214241
撇下了奴一人好不悲凉。,3452123412
奴这里只把那结婚思量，,2433342114
倒不如与伯党匹配鸾凰。,3423233422
清早起我和他一度商量，,1333211414
不想到狠心郎一味猖狂。,4343121412
奴本当把关印付他执掌，,2313144123
又恐怕众将官说短论长。,4344111343
耳听得悲声惨心中如捣，,3121131123
同遇人为什么这样嚎啕。,2422254422
莫不是夫郎丑难谐女貌，,4441232234
莫不是强婚配鸦占鸾巢。,4442141422
叫梅香你把那好言相告，,4213343214
问那厢因何故痛哭无聊？,4411244122
梅香说话好颠倒，,2114313
不该人前乱解嘲。,4122432
怜贫济困是正道，,2244444
哪有个袖手旁观在壁上瞧。,33443214442
蠢才问话太潦草，,3244433
难免怀疑在心梢。,2322411
你不该人前逞骄傲，,34122314
不该词费又滔滔。,4124411
休要噪且站了，,144345
薛良与我去问一遭。,12334411
听薛良一语来相告，,11213214
满腹骄矜顿雪潇。,3411431
人情冷暖凭空造，,2233214
谁能移动它半分毫。,22241412
我正不足她正少，,3442143
她为饥寒我为骄。,1212321
分我一枝珊瑚宝，,1311123
安她半世凤凰剿。,1144423
忙把梅香低声叫，,2321114
莫把姓名你信口哓。,43423431
这都是神话凭空造，,41424214
自把珠玉夸富豪。,4314142
麟儿哪有神送到，,2233244
积德才生玉树苗。,1221442
小小囊儿何足道，,3322224
救她饥渴胜琼瑶。,4113422
非是我嘱咐叮咛把话讲，,1433412343
只怪你呆头呆脑慌慌张张。,34312131111
今夜晚非比那西厢待月、你懂提防、莫轻狂，,14313411443322412
关系你患难鸳鸯永宿在池塘。,143421134422
已然错请生波浪，,3243114
怎能够粗心大意你再荒唐。,32411443412
鼓打二更准时往，,3344323
桃花村口莫彷徨。,2113422
你不要高声不要嚷，,34411443
你必须眼观六路耳听八方。,34131443111
不但要仔细听、还要仔细想，,44434124343
是不是有人拍巴掌。,44432113
响一声你就还一掌，,31134213
响两声你就凑近身旁。,331344412
倘若是你响她也响，,34433133
那就是来了我西厢带路的小红娘。,44425311445322
你把我当做诸葛亮，,33314134
听我的号令上战场。,13544443
老爹爹清晨起前去出前，,3111232412
到叫我桂英儿挂在心头；,4434124412
将身儿坐至在草堂等候，,1124443234
等候了爹爹回细问根由。,3451124412
老爹爹清晨起前去出首，,3111232413
倒叫我桂英儿挂在心头。,3434124412
将身儿坐至在草堂等候，,1124443234
等候了爹爹回细问根由。,3451124412
老爹爹请息（呀）怒容儿细讲，,31131142243
我立志不嫁那状元才郎。,3444444222
父休笑薛平贵是花郎模样，,41412441224
贫穷人得了志比富还强。,2222543422
老爹爹请息怒容儿细讲，,3113142243
儿命苦怎配着状元才郎？,2433454222
父道那薛平贵是那化郎模样，,444124444224
这样人得了志比父还强。,4422543422
老爹爹发恩德将本修上，,3111121314
明早朝上金殿面奏吾皇。,2324144422
倘若是有道君皇恩浩荡，,3443412144
观此本免了儿一门祸殃。,1333521241
老爹爹在朝中官高爵显，,3114211123
却为何贪富贵不顾羞惭。,4221444412
蒙君子至殷勤再三问话，,3154124144
虽然是男女别不得不答。,1242324242
家住在罗郡城魁星楼下，,1442422124
我的父名姜绍贸易天涯。,3542144412
在家中受不过继母拷打，,4114444333
莫奈何到荒郊我就来捡芦花。,442411342321
蒙君子至诚心再三问话，,3154214144
虽然是不相识我就不得不答。,124411344242
家住在罗郡城魁星楼下，,1442422124
我爹爹名姜绍贸易天涯。,3112144412
身有病还受那继母拷打，,1342444333
