daeh-CanQiQi-WuLongZuo,“惨凄凄唤苍天天不应向”——《五龙祚》（李三娘）,dan,erhuan,manban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第64-66页,--
daeh-LiYanFei-DaBaoGuo,“李艳妃设早朝龙书案下”——《大保国》（李艳妃）,dan,erhuang,manban,no,张正治，编者。《京剧传统戏皮黄唱腔结构分析》。北京：人民音乐出版社，1992；第151-155页,--
daeh-LiYanFei-ErJinGong,“李艳妃坐昭阳自思自想”——《二进宫》（李艳妃）,dan,erhuang,zhongsanyan,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第228-232页,368b64ec-8dc6-4751-99ef-b0ae815dca4d
daeh-NaRiFeng-YuanXiaoMi,“那日风波平地起”——《元宵谜》（吕昭华）,dan,erhuang,yuanban,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第187-190页,--
daeh-NuZiYou-TouJunBieYao,“奴自幼在闺阁娇生惯养”——《投军别窑》（王宝钏）,dan,erhuang,manban,no,张正治，编者。《京剧传统戏皮黄唱腔结构分析》。北京：人民音乐出版社，1992；第144-146页,--
daeh-SunShangXiang-BieHuangGong,“孙尚香坐宫院自思自叹”——《别皇宫》（孙尚香）,dan,erhuang,manban,no,张正治，编者。《京剧传统戏皮黄唱腔结构分析》。北京：人民音乐出版社，1992；第156-160页,--
daeh-TanHongYan-HuoXiaoYu,“叹红颜薄命前生就”——《霍小玉》（霍小玉）,dan,erhuang,manban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第71-73页,--
daeh-WangChunE-SanNiangJiaoZi,“王春娥坐草堂自思自叹”——《三娘教子》（王春娥）,dan,erhuang,manban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第60-63页,d954b0ee-46bb-4a39-b3d6-e6e9539c3a00;cc3297a2-dd23-4f2d-a445-464ca389198d;01352f3a-a33b-4ca9-a538-7e0f43b4051b
daeh-WuDuanQiao-BiYuZan,“无端巧计将人陷”——《碧玉簪》（张玉贞）,dan,erhuang,manban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第66-70页,0274ffc9-3ddf-4cb2-a772-16deb7b1d14d
daeh-XiaoNuCai-SanNiangJiaoZi,“小奴才他一言问住我”——《三娘教子》（王春娥）,dan,erhuang,yuanban,no,张正治，编者。《京剧传统戏皮黄唱腔结构分析》。北京：人民音乐出版社，1992；第93-4页,f6339039-e01a-4a70-82ff-001c64fecddd;1446ebfc-8e0c-4d24-aeec-8d8c44ae94b3;eba726a9-14fa-40fa-be4b-f4c68042da36
daeh-ZaoBuXing-HeHouMaDian,“遭不幸老王爷晏了御驾”——《贺后骂殿》（贺后）,dan,erhuang,kuaisanyan,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第232-236页,4deff82c-2e83-4d83-889f-65ab51376e6f;0dcedb30-a74c-4b07-9c22-468d1b9b4f2e
daeh-ZiNaRi-ErJinGong,“自那日与徐杨决裂以后”——《二进宫》（李艳妃）,dan,erhuang,manban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第54-59页,3961ff8c-2c8e-4df0-bda5-5ba7e47d7807;747b0a46-9fe5-46f4-a5c8-097b1e084cfa;00c6e5ec-71e9-421c-8bd6-af5126b56479
daeh-ZiNaRi-ZhuangYuanMei-1,“自那日与六郎姻缘相见”——《状元媒》（柴郡主）,dan,erhuang,yuanban,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第191-196页,fb5cff80-c83d-40e0-9235-a88647c4ffbd;a958f261-d6c1-4d5a-9ea4-5fcbbd9d6499;0c382c91-e048-4e87-bd59-e3088b10cb5e;318bf75e-692a-4e83-bf9a-3ae04537f47a;05d0c156-8fa9-4b5f-b669-078d7a72b444
daeh-ZiNaRi-ZhuangYuanMei-2,“自那日与六郎阵前相见”——《状元媒》（柴郡主）,dan,erhuang,yuanban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第24-27页,fb5cff80-c83d-40e0-9235-a88647c4ffbd;a958f261-d6c1-4d5a-9ea4-5fcbbd9d6499;0c382c91-e048-4e87-bd59-e3088b10cb5e;318bf75e-692a-4e83-bf9a-3ae04537f47a;05d0c156-8fa9-4b5f-b669-078d7a72b444
daeh-ZuoChunGui-XiShi,“坐春闺只觉得光阴似箭”——《西施》（西施）,dan,erhuang,manban,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第224-7页,35bf3153-382f-4f5a-b599-5122ce089fca;1ac273f5-fc81-4a1f-b5db-bc84208e70a8
daeh-ZuoRiGong-TaiZhenWaiChuan,“昨日宫中何等宠幸”——《太真外传》（杨玉环）,dan,erhuang,yuanban,yes,曹宝荣，编著《京剧唱腔板式解读·上册》北京：人民音乐出版社，2010；第22-23页,--
daxp-ChenSanLiang-ChenSanLiangPaTang,“陈三两在大堂吧华云”——《陈三两爬堂》（陈三两）,dan,xipi,daoban; manban,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第352-355页,58c7cfe8-57e2-4a76-9631-6998a26bd38d
daxp-ChunQiuTing-SuoLinNang,“春秋亭外风雨暴”——《锁麟囊》（薛湘灵）,dan,xipi,erliu; liushui,no,刘吉典《京剧音乐概论》北京：人民音乐出版社，1981；第397-401页,11a44af7-e29a-4c50-aa38-6139d37ca306;3dcae41a-795c-4b7d-979b-1b52aa42dd3a;1e705224-0b44-48aa-a0de-6386cda9d517
