,dan,erhuang,kuaisanyan,s,贼好比王莽贼称孤道寡，,114,131
,dan,erhuang,kuaisanyan,x,贼好比曹阿瞒半点不差，,134,151
,dan,erhuang,kuaisanyan,s,贼好比秦赵高指鹿为马，,154,173.5
,dan,erhuang,kuaisanyan,x,贼好比那司马师搅乱中华。,174,191
,dan,erhuang,kuaisanyan,s,只骂得贼昏王装聋作哑，,194,211
,dan,erhuang,kuaisanyan,x,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,214,256
,dan,erhuang,kuaisanyan,s,只骂得贼昏王无言对答。,258,275
,dan,erhuang,kuaisanyan,x,两旁的文武臣珠泪如麻，,278,295
,dan,erhuang,kuaisanyan,s,搬一把金交椅娘且坐下，,298,315
,dan,erhuang,kuaisanyan,x,你叔王不让位再去骂他。,318,360
daeh-ZiNaRi-ErJinGong.xml,dan,erhuang,manban,s,自那日与徐杨决裂以后，,40,96
,dan,erhuang,manban,x,独坐在寒宫院闷闷悠悠。,116,152
,dan,erhuang,manban,s,先王爷晏驾后太子年幼，,168,208.5
,dan,erhuang,manban,x,太师爷一心心想篡龙楼。,212,228.25
,dan,erhuang,manban,s,他那里父女情全然无有，,232,248.5
,dan,erhuang,manban,x,竟把我孤儿寡母当做了马牛。,252,271.5
,dan,erhuang,manban,s,徐小姐把守在宫门口，,272,316
,dan,erhuang,manban,x,看一看不觉到八月中秋。,352,384
,dan,erhuang,manban,s,李艳妃坐昭阳自思自想，,402,438
,dan,erhuang,manban,x,想起了老王爷好不惨伤。,442,470
,dan,erhuang,manban,s,耳边厢又听得朝靴响亮，,486,522.5
,dan,erhuang,manban,x,想必是徐杨进了昭阳。,526,544
,dan,erhuang,manban,s,有一句话儿不好言讲，,546,562.5
,dan,erhuang,manban,x,我只得怀抱太子两泪汪汪口口声声哭的是先王！,566,610
daeh-ZiNaRi-ZhuangYuanMei-1.xml,dan,erhuang,yuanban,s,自那日与六郎姻缘相见，,17,35.25
,dan,erhuang,yuanban,x,行不安坐不宁情态缠绵。,37,45.25
,dan,erhuang,yuanban,s,在潼台被贼擒在命好险，,47,55.25
,dan,erhuang,yuanban,x,乱军中多亏他救我回还。,57,79
,dan,erhuang,yuanban,s,这桩事闷得我柔肠百转，,87,119.5
,dan,erhuang,yuanban,x,不知道他与我是否一般。,121,129.25
,dan,erhuang,yuanban,s,百姓们闺房乐如花美眷，,131,139.25
,dan,erhuang,yuanban,x,帝王家深宫院似水流年。,141,151.25
,dan,erhuang,yuanban,s,幸喜得珍珠衫称心如愿，,153,161.25
,dan,erhuang,yuanban,x,宋天子主婚姻此事成全。,163,171.25
,dan,erhuang,yuanban,s,但愿得令公令婆别无异见，,173,181.25
,dan,erhuang,yuanban,x,但愿得杨六郎心如石坚，,183,191.375
,dan,erhuang,yuanban,s,但愿得状元媒月老引线，,193,201
,dan,erhuang,yuanban,x,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,203,246
,dan,erhuang,yuanban,s,愿天下有情人都成姻眷，,246,260.25
,dan,erhuang,yuanban,x,愿天下从此后国泰民安。,262,271
daeh-ZiNaRi-ZhuangYuanMei-2.xml,dan,erhuang,yuanban,s,自那日与六郎阵前相见，,18,42.5
,dan,erhuang,yuanban,x,行不安坐不宁情态缠绵。,44,52
,dan,erhuang,yuanban,s,在潼台被贼擒性命好险，,54,62
,dan,erhuang,yuanban,x,乱军中多亏他救我回还。,64,86
,dan,erhuang,yuanban,s,这桩事闷得我柔肠百转，,94,128.5
,dan,erhuang,yuanban,x,不知道他与我是否一般。,130,138
,dan,erhuang,yuanban,s,百姓们闺房乐如花美眷，,140,148.5
,dan,erhuang,yuanban,x,帝王家深宫怨似水流年。,150,160
,dan,erhuang,yuanban,s,幸喜得珍珠衫称心如愿，,162,170.5
,dan,erhuang,yuanban,x,宋天子主婚姻此事成全。,172,180.75
,dan,erhuang,yuanban,s,但愿得令公令婆别无意见，,182,190.5
,dan,erhuang,yuanban,x,但愿得杨六郎心如石坚。,192,200.75
,dan,erhuang,yuanban,s,但愿得状元媒月老引线，,202,210.5
,dan,erhuang,yuanban,x,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,212,247
,dan,erhuang,yuanban,s,愿天下有情人都成姻眷，,263,277.5
,dan,erhuang,yuanban,x,愿邦家从此后国泰民安。,279,288
daeh-ZuoChunGui-XiShi.xml,dan,erhuang,manban,s,坐春闺只觉得光明似箭，,10,63
,dan,erhuang,manban,x,无限的闲愁恨尽上眉尖。,78,115
,dan,erhuang,manban,s,奴这里心中痛玉颜清减，,128,196
,dan,erhuang,manban,x,夜不眠朝慵起又向谁言。,212,236
daeh-ZuoRiGong-TaiZhenWaiChuan.xml,dan,erhuang,yuanban,s,昨日宫中何等宠幸，,18,40
,dan,erhuang,yuanban,x,有谁知一时错被逐宫廷。,42,60
,dan,erhuang,yuanban,s,思想起从前事心中悔恨，,70,94.5
,dan,erhuang,yuanban,x,但不知何日里再沐圣明。,96,106
daxp-ChenSanLiang-ChenSanLiangPaTang.xml,dan,xipi,daoban,s,陈三两在大堂把话云，,14,33
,dan,xipi,manban,x,公正的老爷细听分明。,65,100.75
,dan,xipi,manban,s,我本是被骗进的富春院，,129,157
,dan,xipi,manban,x,发奋自强日夜读诗文。,165,196
,dan,xipi,manban,s,诗书易礼都学会，,205,220
,dan,xipi,manban,x,最可恨鸨儿叫我接客人。,229,252
daxp-ChunQiuTing-SuoLinNang.xml,dan,xipi,erliu,s,春秋亭外风雨暴，,2,14.75
,dan,xipi,erliu,x,何处悲声破寂寥。,15,25.25
,dan,xipi,erliu,s,在隔帘只见这一花轿，,27,36.75
,dan,xipi,erliu,x,想必是新婚渡鹊桥，,37,47.25
,dan,xipi,erliu,s,吉日良辰当欢笑，,49,58.75
,dan,xipi,erliu,x,为何鲛珠化泪抛？,59,72.75
,dan,xipi,erliu,s,此时却又明白了，,75,84.25
,dan,xipi,liushui,x,世上何尝尽富豪，,84.5,89
,dan,xipi,liushui,s,亦有饥寒悲怀抱，,90.5,97
,dan,xipi,liushui,x,也有失意痛哭嚎啕，,97.5,103
,dan,xipi,liushui,s,轿内的人儿弹别调，,103.5,108
,dan,xipi,liushui,x,必有隐情在心潮。,108.5,118
,dan,xipi,liushui,s,耳听得悲声惨心中如捣，,131,138.5
,dan,xipi,liushui,x,同遇人为什么这样嚎啕？,139.5,147.5
,dan,xipi,liushui,s,莫不是夫郎丑难谐女貌？,148.5,156
,dan,xipi,liushui,x,莫不是强婚配鸦占鸾巢？,157,166
,dan,xipi,liushui,s,叫梅香你把那好言相告，,166.5,174.5
,dan,xipi,liushui,x,问那厢因何故痛哭无聊。,175,185
,dan,xipi,liushui,s,听薛良一语来相告，,200,207.5
,dan,xipi,liushui,x,满腹骄矜顿雪潇，,208,212
,dan,xipi,liushui,s,人情冷暖凭天造，,213.5,218
,dan,xipi,liushui,x,谁能移动他半分毫。,218.5,224
,dan,xipi,liushui,s,我在不足他正少，,225.5,230.5
,dan,xipi,liushui,x,他为饥寒我为娇。,231,235
,dan,xipi,liushui,s,分我一枝珊瑚宝，,236.5,241.5
,dan,xipi,liushui,x,安他半世凤凰巢。,242,246
,dan,xipi,liushui,s,忙把梅香低声儿叫，,246.5,267
,dan,xipi,liushui,x,莫把姓名你信口晓，,276.5,285.5
,dan,xipi,liushui,s,这都是神话凭空造，,297,304.5
,dan,xipi,liushui,x,自把珠玉夸富豪，,305,309.5
,dan,xipi,liushui,s,麟儿那有神送到，,310.5,315.75
,dan,xipi,liushui,x,积德才生玉树苗，,316,320
,dan,xipi,liushui,s,小小囊儿何足道，,321.5,327
,dan,xipi,liushui,x,救她饥渴胜琼瑶。,327.5,337
daxp-DangRiLi-SuoLinNang.xml,dan,xipi,yuanban,s,当日里好风光忽觉转变，,34,60
,dan,xipi,yuanban,x,霎时间日色淡似坠西山。,86,108
,dan,xipi,yuanban,s,在轿中只觉得天昏地暗。,138,156.5
,dan,xipi,yuanban,x,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,158,204
,dan,xipi,yuanban,s,那花轿必定是因陋就简，,274,292.5
,dan,xipi,yuanban,x,隔帘儿我也曾侧目偷观。,294,312.5
,dan,xipi,yuanban,s,虽然是古青庐以朴为俭，,314,332.5
,dan,xipi,yuanban,x,哪有这短花帘，旧花幔，参差流苏，残破不全。,334,364
,dan,xipi,yuanban,s,轿中人必定有一腔幽怨，,430,451
,dan,xipi,yuanban,x,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,451.5,485
,dan,xipi,yuanban,s,于归日理应当喜形于面，,486,508.5
,dan,xipi,yuanban,x,为什么悲切切哭得可怜。,510,532
,dan,xipi,yuanban,s,那时节奴妆奁不下百万，,554,572.5
,dan,xipi,yuanban,x,怎奈我在轿中赤手空拳。,574,596
,dan,xipi,yuanban,s,急切里想起了锁麟囊一（呀）件，,626,644.5
,dan,xipi,yuanban,x,囊虽小却能做续命泉源。,646,668
,dan,xipi,liushui,s,有金珠和珍宝光华灿烂，,715,723.5
,dan,xipi,liushui,x,红珊瑚碧翡翠样样倶全。,724.5,732
,dan,xipi,liushui,s,还有那夜明珠粒粒成串，,733.5,741.5
,dan,xipi,liushui,x,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,742,769.5
,dan,xipi,liushui,s,这囊儿虽非是千古罕见，,770.5,778.5
,dan,xipi,liushui,x,换衣食也够她生活几年。,779,790
daxp-DiTouLi-NvQiJie.xml,dan,xipi,liushui,s,低头离了洪洞县，,13,19
,dan,xipi,liushui,x,将身来在大街前。,20.5,26
,dan,xipi,liushui,s,未曾开言我心好惨，,26.5,32
,dan,xipi,liushui,x,过往的君子听我言。,32.5,37
,dan,xipi,liushui,s,哪一位去往南京转，,37.5,43
,dan,xipi,liushui,x,与我那三郎把信传。,43.5,48
,dan,xipi,liushui,s,就说苏三把命断，,49,52
,dan,xipi,liushui,x,来生变犬马我当报还。,52.5,61
daxp-DuiLingHua-BiYuZan.xml,dan,xipi,manban,s,对菱花暗地里芳心自转，,0,30.5
,dan,xipi,manban,x,听她言不由人喜上眉尖。,31,65.5
,dan,xipi,manban,s,果然是成佳偶两心欢恋，,66,102.5
,dan,xipi,manban,x,也算得人世间美满姻缘。,103,129
daxp-ErDeFu-HongNiGuan.xml,dan,xipi,manban,s,儿的父为国家阵前命丧，,0,30
,dan,xipi,manban,x,撇下了奴一人好不悲凉。,32,64
,dan,xipi,manban,s,奴这里只把那结婚思量，,65,99
,dan,xipi,manban,x,倒不如与伯党匹配鸾凰。,101,135
,dan,xipi,manban,s,清早起我和他一度商量，,137,167
,dan,xipi,manban,x,不想到狠心郎一味猖狂。,169,195
,dan,xipi,manban,s,奴本当把关印付他执掌，,197,227
,dan,xipi,manban,x,又恐怕众将官说短论长。,229,253
daxp-ErTingDe-SuoLinNang.xml,dan,xipi,liushui,s,耳听得悲声惨心中如捣，,12,19.5
,dan,xipi,liushui,x,同遇人为什么这样嚎啕。,20.5,28.5
,dan,xipi,liushui,s,莫不是夫郎丑难谐女貌，,29.5,37
,dan,xipi,liushui,x,莫不是强婚配鸦占鸾巢。,38,47
,dan,xipi,liushui,s,叫梅香你把那好言相告，,47.5,55.5
,dan,xipi,liushui,x,问那厢因何故痛哭无聊？,56,66.5
